AtencionID|Numero Ticket|Agencia|Semana Visita|Tipo Atencion|ProveedorID|Proveedor|Unidades|Costo Atencion|Numero OS/OC|Codigo Conformidad
15932|WO0000005275786|ZARATE|S2|Flat|48|Accenture||||
15937|WO0000005275734|PRO|s2|Flat|48|Accenture||||
15947|WO0000005274512|BELAUNDE||Variable|40|Prosegur||||
15950|WO0000005275180|PRO|S2|Variable|48|Accenture||-|00482-062023|
15952|WO0000005277504|ANGELICA GAMARRA||Variable|40|Prosegur||||
15953|WO0000005275121|NAYLAMP||Variable|28|JGM Import||728.06||
15954|WO0000005275737|TARAPACA||Emergencia|3|Alta Tecnologia En Limpieza||2053.1999999999998||
15957|WO0000005274575|UNIPLAZA||Variable|11|Cime Comercial||719.33||
15958|WO0000005276221|PLAZA LIMA NORTE|S1|Flat|48|Accenture||260|02769-062023|
15959|WO0000005275742|INDEPENDENCIA (LIMA)||Emergencia|42|Punto Control Ambiental||2272.6799999999998||
15960|WO0000005275739|ANGELICA GAMARRA||Emergencia|42|Punto Control Ambiental||972.32||
15961|WO0000005275741|EDUARDO DE HABICH||Emergencia|42|Punto Control Ambiental||717.44||
15966|WO0000005278653|TARAPACA||Flat|48|Accenture||||
15972|WO0000005279142|UNIPLAZA|S2|Variable|36|MR Express||18.88||
15973|WO0000005279143|UNIPLAZA|S2|Flat|48|Accenture||||
15974|WO0000005279140|UNIPLAZA|S2|Flat|48|Accenture||||
15975|WO0000005279142|UNIPLAZA|S2|Flat|48|Accenture||||
15978|WO0000005279772|TUPAC AMARU|s2|Flat|48|Accenture||||
15979|WO0000005279143|UNIPLAZA|S2|Variable|36|MR Express||18.88||
15980|WO0000005279773|TOPY TOP|S2|Flat|48|Accenture||||
15983|WO0000005279786|SAN JUAN DE LURIGANCHO|S2|Flat|48|Accenture||||
15988|WO0000005279174|LA ENSENADA||Variable|48|Accenture||244.5|00747-062023|
15991|WO0000005278697|NAYLAMP|s2|Flat|48|Accenture||455.2|00743-062023|
15992|WO0000005279112|EL PINO||Variable|28|JGM Import||165.2||
15993|WO0000005279776|CHIMPU OCLLO|S2|Variable|48|Accenture||-|00748-062023|
15994|WO0000005279175|TUSILAGOS||Emergencia|42|Punto Control Ambiental||1128.6500000000001||
16000|WO0000005279755|TOTTUS GUIPOR||Variable|40|Prosegur||1922.04||
16005|WO0000005282527|SAN MARTIN DE PORRES||Variable|48|Accenture||||
16008|WO0000005282570|MERCADO DE FRUTAS|s2|Flat|48|Accenture||||
16009|WO0000005282580|MERCADO DE FRUTAS|s2|Flat|48|Accenture||||
16017|WO0000005283059|CANTO GRANDE|s2|Flat|48|Accenture||||
16019|WO0000005282561|C.B. FIORI||Variable|11|Cime Comercial||||
16020|WO0000005284784|BELAUNDE||Variable|40|Prosegur||||
16021|WO0000005283654|PLAZA CIVICA VENTANILLA|s1|Flat|48|Accenture||95|01151-062023|
16022|WO0000005283900|LAS MALVINAS|s1|Flat|48|Accenture||99.5|00899-062023|
16027|WO0000005283971|PLAZA CIVICA VENTANILLA||Variable|48|Accenture||249.78|02166-062023|
16029|WO0000005282585|LAS MALVINAS|s1|Flat|48|Accenture||526|01614-062023|
16030|WO0000005283634|C.B. FIORI||Variable|40|Prosegur||518.61||
16037|WO0000005285876|ZARATE||Flat|48|Accenture||||
16038|WO0000005287022|ZARATE||Flat|48|Accenture||||
16048|WO0000005286417|INDEPENDENCIA (LIMA)|S2|Flat|48|Accenture||||
16051|WO0000005287458|CANTO GRANDE||Variable|28|JGM Import||147.5||
16054|WO0000005286465|ZARATE||Variable|48|Accenture||204.85|01150-062023|
16056|WO0000005287464|CANTO GRANDE|S2|Flat|48|Accenture||||
16059|WO0000005287463|CANTO GRANDE|S2|Flat|48|Accenture||||
16064|WO0000005287086|LA ENSENADA|s2|Flat|48|Accenture||99.5|01621-062023|
16065|WO0000005286446|ZARATE|S2|Flat|48|Accenture||140.5|01811-062023|
16067|WO0000005286425|CHIMPU OCLLO|S2|Flat|48|Accenture||112|01459-062023|
16068|WO0000005287074|LAS MALVINAS|s2|Flat|48|Accenture||554.9|01814-062023|
16069|WO0000005287472|PRO|S2|Flat|48|Accenture||220|02825-062023|
16074|WO0000005291209|PROCERES||Flat|48|Accenture||||
16090|WO0000005290141|URB SAN FELIPE COMAS|s2|Flat|48|Accenture||||
16091|WO0000005290146|URB SAN FELIPE COMAS|s2|Flat|48|Accenture||||
16092|WO0000005290141|URB SAN FELIPE COMAS|s2|Variable|36|MR Express||18.88||
16093|WO0000005290144|URB SAN FELIPE COMAS|s2|Flat|48|Accenture||||
16095|WO0000005291927|EL PINO||Variable|40|Prosegur||||
16099|WO0000005291288|LA ENSENADA||Variable|48|Accenture||329.79|01833-062023|
16100|WO0000005290171|PLAZA CIVICA VENTANILLA|s2|Flat|48|Accenture||95|01474-062023|
16101|WO0000005290167|PLAZA CIVICA VENTANILLA|s2|Flat|48|Accenture||95|01595-062023|
16102|WO0000005292351|EDUARDO DE HABICH||Variable|48|Accenture||249.78|02161-062023|
16103|WO0000005291977|EL PINO|s2|Flat|48|Accenture||||
16105|WO0000005292349|LA PAMPILLA||Variable|48|Accenture||249.78|02565-062023|
16106|WO0000005290862|PLAZA CIVICA VENTANILLA|s2|Flat|48|Accenture||153|01823-062023|
16110|WO0000005291222|EL SOL|S3|Flat|48|Accenture||677.5|02200-062023|
