AtencionID|Numero Ticket|Agencia|Semana Visita|Tipo Atencion|ProveedorID|Proveedor|Unidades|Costo Atencion|Numero OS/OC|Codigo Conformidad
14963|WO0000005201903|DIAGONAL|S1|Flat|48|Accenture||||
14965|WO0000005201907|DIAGONAL|S1|Flat|48|Accenture||||
14955|WO0000005201599|LA NEGRITA|S1|Flat|48|Accenture||||
14979|WO0000005200738|MALL AVENTURA PLAZA AREQUIPA||Variable|40|Prosegur||||
14987|WO0000005201572|TOWN SITE||Flat|48|Accenture||458|02191-052023|
14956|WO0000005201598|MALL AVENTURA PLAZA AREQUIPA|S2|Flat|48|Accenture||||
14971|WO0000005203411|SAN ROMAN||Variable|40|Prosegur||||
14964|WO0000005201904|DIAGONAL|S1|Flat|48|Accenture||||
14966|WO0000005201909|DIAGONAL|S1|Flat|48|Accenture||||
14958|WO0000005201900|LA NEGRITA|S1|Flat|48|Accenture||||
14990|WO0000005205204|CAMANA||Rechazado|14|Construcciones Tolentino||||
15010|WO0000005204494|PUNO|Q1|Flat|48|Accenture||197|01985-052023|
15018|WO0000005205210|ILO||Flat|48|Accenture||200|02549-052023|
15002|WO0000005205810|LA NEGRITA|S2|Flat|48|Accenture||||
15057|WO0000005207708|MOQUEGUA||Variable|48|Accenture||430|00169-072023|
15043|WO0000005207294|UMACOLLO|S2|Flat|48|Accenture||||
15025|WO0000005208117|LA NEGRITA|S2|Flat|48|Accenture||||
15032|WO0000005208116|LA NEGRITA|S2|Flat|48|Accenture||||
15056|WO0000005207744|CAYMA||Flat|48|Accenture||||
15045|WO0000005206792|MARIANO MELGAR||Variable|46|Shalman||||
15066|WO0000005210998|LARAPA|S2|Flat|48|Accenture||||
15096|WO0000005210958|CAYMA||Variable|9|Cechriza||||
15097|WO0000005210526|JAUREGUI||Flat|48|Accenture||295|02253-062023|
15075|WO0000005211391|SAN ROMAN||Variable|40|Prosegur||||
15065|WO0000005210996|LARAPA|S2|Flat|48|Accenture||||
15095|WO0000005210968|CAYMA||Variable|9|Cechriza||||
15061|WO0000005211318|PUERTO MALDONADO||Rechazado|9|Cechriza||||
15063|WO0000005211322|PUERTO MALDONADO||Rechazado|48|Accenture||||
15058|WO0000005211317|PUERTO MALDONADO||Rechazado|9|Cechriza||||
15059|WO0000005211316|PUERTO MALDONADO||Rechazado|9|Cechriza||||
15087|WO0000005210949|PUNO|Q1|Flat|48|Accenture||161|01809-052023|
15088|WO0000005210511|URUBAMBA|Q1|Flat|48|Accenture||479|01859-052023|
15090|WO0000005211320|PUERTO MALDONADO|Q1|Flat|48|Accenture||555.6|02093-052023|
15060|WO0000005211305|SOCABAYA||Rechazado||||||
15105|WO0000005213311|CAYMA|S2|Flat|48|Accenture||||
